"screen_id","screen_name","group_code","group_name","doc_ref","roles","platforms","viewports_px","phase","states","state_count","components","frame_count","flows","acc_criteria","design_file","status","decision_applied","design_status","frame_ref","frames_drawn","frames_required"
"ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","الدخول والتهيئة","٣،٩،١٣،١٤","زائر، مالك، كاشير، أمين مخزن، مدعو","W/M/D","390 834 1366 1440 1920","أساسي","ready offline server_error","3","C-FRAME C-BTN C-NOTICE","18","F01","ACC-119","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","28-D21-Access-Inventory-Complete.dc.html#ACC-01","1","3","18"
"ACC-02","تسجيل ودخول واستعادة الوصول","ACC","الدخول والتهيئة","٣،٩،١٣،١٤","زائر، مالك، كاشير، أمين مخزن، مدعو","W/M/D","390 834 1366 1440 1920","أساسي","ready loading validation_error offline expired server_error success","7","C-FIELD C-BTN C-NOTICE","42","","","06-D2-Shifts-Access.dc.html","owner_approved","G-02 وسيلة تحقق الحساب","drawn","06-D2-Shifts-Access.dc.html#ACC-02","3","8","42"
"ACC-03","اختيار المنشأة والفرع","ACC","الدخول والتهيئة","٣،٩،١٣،١٤","زائر، مالك، كاشير، أمين مخزن، مدعو","W/M/D","390 834 1366 1440 1920","أساسي","ready loading empty permission_denied offline stale","6","C-ORGSW C-PICK C-NOTICE","36","","ACC-138","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","28-D21-Access-Inventory-Complete.dc.html#ACC-03","2","6","36"
"ACC-04","إنشاء المنشأة ووصفة القطاع","ACC","الدخول والتهيئة","٣،٩،١٣،١٤","زائر، مالك، كاشير، أمين مخزن، مدعو","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error saving success server_error","5","C-FIELD C-DIALOG C-NOTICE","30","","ACC-23 ACC-26 ACC-27","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","28-D21-Access-Inventory-Complete.dc.html#ACC-04","1","5","30"
"ACC-05","تجهيز الجهاز والتنزيل الأول","ACC","الدخول والتهيئة","٣،٩،١٣،١٤","زائر، مالك، كاشير، أمين مخزن، مدعو","W/M/D","390 834 1366 1440 1920","أساسي","loading offline partial stale server_error success","6","C-NOTICE C-SYNC C-BTN","36","","ACC-40 ACC-41 ACC-42 ACC-52 ACC-53 ACC-70","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","28-D21-Access-Inventory-Complete.dc.html#ACC-05","1","6","36"
"ACC-06","قبول دعوة موظف أو منشأة سوق","ACC","الدخول والتهيئة","٣،٩،١٣،١٤","زائر، مالك، كاشير، أمين مخزن، مدعو","W/M/D","390 834 1366 1440 1920","أساسي","ready expired permission_denied success server_error","5","C-NOTICE C-BTN C-FIELD","30","F09","ACC-150","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","28-D21-Access-Inventory-Complete.dc.html#ACC-06","2","5","30"
"ACC-07","قفل محلي وفتح PIN","ACC","الدخول والتهيئة","٣،٩،١٣،١٤","زائر، مالك، كاشير، أمين مخزن، مدعو","W/M/D","390 834 1366 1440 1920","أساسي","ready validation_error permission_denied offline","4","C-FIELD C-DIALOG","24","","ACC-62 ACC-66","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","28-D21-Access-Inventory-Complete.dc.html#ACC-07","2","4","24"
"ACC-08","انتهاء جلسة وإعادة مصادقة","ACC","الدخول والتهيئة","٣،٩،١٣،١٤","زائر، مالك، كاشير، أمين مخزن، مدعو","W/M/D","390 834 1366 1440 1920","أساسي","expired offline saved_local pending_sync success","5","C-DIALOG C-SYNC C-NOTICE","30","","ACC-98","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","06-D2-Shifts-Access.dc.html#ACC-08","1","5","30"
"ACC-09","الحساب والأمان والجلسات","ACC","الدخول والتهيئة","٣،٩،١٣،١٤","زائر، مالك، كاشير، أمين مخزن، مدعو","W/M/D","390 834 1366 1440 1920","أساسي","ready loading permission_denied pending_sync success server_error","6","C-TABLE C-DIALOG C-SYNC","36","","ACC-98","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","28-D21-Access-Inventory-Complete.dc.html#ACC-09","1","6","36"
"ACC-10","معالج بدء الاستخدام","ACC","الدخول والتهيئة","٣،٩،١٣،١٤","زائر، مالك، كاشير، أمين مخزن، مدعو","W/M/D","390 834 1366 1440 1920","أساسي","ready empty partial validation_error offline success","6","C-NOTICE C-UPLOAD C-PRINT C-BTN","36","F01","","06-D2-Shifts-Access.dc.html","owner_approved","","drawn","06-D2-Shifts-Access.dc.html#ACC-10","1","6","36"
