"frame_id","screen_id","screen_name","group_code","platform","viewport_px","state_code","state_ar","phase","components","design_file","status","design_status","frame_ref"
"ACC-01-W390-ready","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","W","390","ready","جاهز","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-W390-offline","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","W","390","offline","بلا اتصال","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-W390-server_error","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","W","390","server_error","خطأ خادم","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-W834-ready","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","W","834","ready","جاهز","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-W834-offline","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","W","834","offline","بلا اتصال","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-W834-server_error","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","W","834","server_error","خطأ خادم","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-W1440-ready","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","W","1440","ready","جاهز","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-W1440-offline","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","W","1440","offline","بلا اتصال","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","drawn","34-D26-Access-All-States.dc.html#ACC-01"
"ACC-01-W1440-server_error","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","W","1440","server_error","خطأ خادم","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","drawn","34-D26-Access-All-States.dc.html#ACC-01"
"ACC-01-M390-ready","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","M","390","ready","جاهز","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","drawn","28-D21-Access-Inventory-Complete.dc.html#ACC-01"
"ACC-01-M390-offline","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","M","390","offline","بلا اتصال","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-M390-server_error","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","M","390","server_error","خطأ خادم","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-D1366-ready","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","D","1366","ready","جاهز","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-D1366-offline","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","D","1366","offline","بلا اتصال","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-D1366-server_error","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","D","1366","server_error","خطأ خادم","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-D1920-ready","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","D","1920","ready","جاهز","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-D1920-offline","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","D","1920","offline","بلا اتصال","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-01-D1920-server_error","ACC-01","ترحيب واختيار الدخول أو إنشاء منشأة","ACC","D","1920","server_error","خطأ خادم","أساسي","C-FRAME C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-02-W390-ready","ACC-02","تسجيل ودخول واستعادة الوصول","ACC","W","390","ready","جاهز","أساسي","C-FIELD C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-02-W390-loading","ACC-02","تسجيل ودخول واستعادة الوصول","ACC","W","390","loading","تحميل","أساسي","C-FIELD C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-02-W390-validation_error","ACC-02","تسجيل ودخول واستعادة الوصول","ACC","W","390","validation_error","خطأ تحقق","أساسي","C-FIELD C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-02-W390-offline","ACC-02","تسجيل ودخول واستعادة الوصول","ACC","W","390","offline","بلا اتصال","أساسي","C-FIELD C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-02-W390-expired","ACC-02","تسجيل ودخول واستعادة الوصول","ACC","W","390","expired","منتهي الصلاحية","أساسي","C-FIELD C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-02-W390-server_error","ACC-02","تسجيل ودخول واستعادة الوصول","ACC","W","390","server_error","خطأ خادم","أساسي","C-FIELD C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-02-W390-success","ACC-02","تسجيل ودخول واستعادة الوصول","ACC","W","390","success","نجاح","أساسي","C-FIELD C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-02-W834-ready","ACC-02","تسجيل ودخول واستعادة الوصول","ACC","W","834","ready","جاهز","أساسي","C-FIELD C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
"ACC-02-W834-loading","ACC-02","تسجيل ودخول واستعادة الوصول","ACC","W","834","loading","تحميل","أساسي","C-FIELD C-BTN C-NOTICE","06-D2-Shifts-Access.dc.html","owner_approved","not_drawn",""
